Component,Eigenvalue,ExplainedVariance,CumulativeVariance
1,68.9735,0.145768,0.145768
2,68.9735,0.145768,0.145768
2,48.3839,0.102254,0.248023
3,68.9735,0.145768,0.145768
3,48.3839,0.102254,0.248023
3,38.3851,0.0811229,0.329146
4,68.9735,0.145768,0.145768
4,48.3839,0.102254,0.248023
4,38.3851,0.0811229,0.329146
4,32.8493,0.0694235,0.398569
5,68.9735,0.145768,0.145768
5,48.3839,0.102254,0.248023
5,38.3851,0.0811229,0.329146
5,32.8493,0.0694235,0.398569
5,25.9067,0.0547512,0.45332
6,68.9735,0.145768,0.145768
6,48.3839,0.102254,0.248023
6,38.3851,0.0811229,0.329146
6,32.8493,0.0694235,0.398569
6,25.9067,0.0547512,0.45332
6,18.3714,0.038826,0.492146
7,68.9735,0.145768,0.145768
7,48.3839,0.102254,0.248023
7,38.3851,0.0811229,0.329146
7,32.8493,0.0694235,0.398569
7,25.9067,0.0547512,0.45332
7,18.3714,0.038826,0.492146
7,16.3101,0.0344698,0.526616
8,68.9735,0.145768,0.145768
8,48.3839,0.102254,0.248023
8,38.3851,0.0811229,0.329146
8,32.8493,0.0694235,0.398569
8,25.9067,0.0547512,0.45332
8,18.3714,0.038826,0.492146
8,16.3101,0.0344698,0.526616
8,13.7162,0.0289878,0.555604
9,68.9735,0.145768,0.145768
9,48.3839,0.102254,0.248023
9,38.3851,0.0811229,0.329146
9,32.8493,0.0694235,0.398569
9,25.9067,0.0547512,0.45332
9,18.3714,0.038826,0.492146
9,16.3101,0.0344698,0.526616
9,13.7162,0.0289878,0.555604
9,12.9422,0.0273519,0.582956
10,68.9735,0.145768,0.145768
10,48.3839,0.102254,0.248023
10,38.3851,0.0811229,0.329146
10,32.8493,0.0694235,0.398569
10,25.9067,0.0547512,0.45332
10,18.3714,0.038826,0.492146
10,16.3101,0.0344698,0.526616
10,13.7162,0.0289878,0.555604
10,12.9422,0.0273519,0.582956
10,10.425,0.0220322,0.604988
11,68.9735,0.145768,0.145768
11,48.3839,0.102254,0.248023
11,38.3851,0.0811229,0.329146
11,32.8493,0.0694235,0.398569
11,25.9067,0.0547512,0.45332
11,18.3714,0.038826,0.492146
11,16.3101,0.0344698,0.526616
11,13.7162,0.0289878,0.555604
11,12.9422,0.0273519,0.582956
11,10.425,0.0220322,0.604988
11,10.1398,0.0214294,0.626418
12,68.9735,0.145768,0.145768
12,48.3839,0.102254,0.248023
12,38.3851,0.0811229,0.329146
12,32.8493,0.0694235,0.398569
12,25.9067,0.0547512,0.45332
12,18.3714,0.038826,0.492146
12,16.3101,0.0344698,0.526616
12,13.7162,0.0289878,0.555604
12,12.9422,0.0273519,0.582956
12,10.425,0.0220322,0.604988
12,10.1398,0.0214294,0.626418
12,9.4428,0.0199564,0.646374
13,68.9735,0.145768,0.145768
13,48.3839,0.102254,0.248023
13,38.3851,0.0811229,0.329146
13,32.8493,0.0694235,0.398569
13,25.9067,0.0547512,0.45332
13,18.3714,0.038826,0.492146
13,16.3101,0.0344698,0.526616
13,13.7162,0.0289878,0.555604
13,12.9422,0.0273519,0.582956
13,10.425,0.0220322,0.604988
13,10.1398,0.0214294,0.626418
13,9.4428,0.0199564,0.646374
13,8.78415,0.0185644,0.664938
14,68.9735,0.145768,0.145768
14,48.3839,0.102254,0.248023
14,38.3851,0.0811229,0.329146
14,32.8493,0.0694235,0.398569
14,25.9067,0.0547512,0.45332
14,18.3714,0.038826,0.492146
14,16.3101,0.0344698,0.526616
14,13.7162,0.0289878,0.555604
14,12.9422,0.0273519,0.582956
14,10.425,0.0220322,0.604988
14,10.1398,0.0214294,0.626418
14,9.4428,0.0199564,0.646374
14,8.78415,0.0185644,0.664938
14,8.20572,0.0173419,0.68228
15,68.9735,0.145768,0.145768
15,48.3839,0.102254,0.248023
15,38.3851,0.0811229,0.329146
15,32.8493,0.0694235,0.398569
15,25.9067,0.0547512,0.45332
15,18.3714,0.038826,0.492146
15,16.3101,0.0344698,0.526616
15,13.7162,0.0289878,0.555604
15,12.9422,0.0273519,0.582956
15,10.425,0.0220322,0.604988
15,10.1398,0.0214294,0.626418
15,9.4428,0.0199564,0.646374
15,8.78415,0.0185644,0.664938
15,8.20572,0.0173419,0.68228
15,7.45581,0.0157571,0.698037
16,68.9735,0.145768,0.145768
16,48.3839,0.102254,0.248023
16,38.3851,0.0811229,0.329146
16,32.8493,0.0694235,0.398569
16,25.9067,0.0547512,0.45332
16,18.3714,0.038826,0.492146
16,16.3101,0.0344698,0.526616
16,13.7162,0.0289878,0.555604
16,12.9422,0.0273519,0.582956
16,10.425,0.0220322,0.604988
16,10.1398,0.0214294,0.626418
16,9.4428,0.0199564,0.646374
16,8.78415,0.0185644,0.664938
16,8.20572,0.0173419,0.68228
16,7.45581,0.0157571,0.698037
16,6.53969,0.013821,0.711858
17,68.9735,0.145768,0.145768
17,48.3839,0.102254,0.248023
17,38.3851,0.0811229,0.329146
17,32.8493,0.0694235,0.398569
17,25.9067,0.0547512,0.45332
17,18.3714,0.038826,0.492146
17,16.3101,0.0344698,0.526616
17,13.7162,0.0289878,0.555604
17,12.9422,0.0273519,0.582956
17,10.425,0.0220322,0.604988
17,10.1398,0.0214294,0.626418
17,9.4428,0.0199564,0.646374
17,8.78415,0.0185644,0.664938
17,8.20572,0.0173419,0.68228
17,7.45581,0.0157571,0.698037
17,6.53969,0.013821,0.711858
17,6.46997,0.0136736,0.725532
18,68.9735,0.145768,0.145768
18,48.3839,0.102254,0.248023
18,38.3851,0.0811229,0.329146
18,32.8493,0.0694235,0.398569
18,25.9067,0.0547512,0.45332
18,18.3714,0.038826,0.492146
18,16.3101,0.0344698,0.526616
18,13.7162,0.0289878,0.555604
18,12.9422,0.0273519,0.582956
18,10.425,0.0220322,0.604988
18,10.1398,0.0214294,0.626418
18,9.4428,0.0199564,0.646374
18,8.78415,0.0185644,0.664938
18,8.20572,0.0173419,0.68228
18,7.45581,0.0157571,0.698037
18,6.53969,0.013821,0.711858
18,6.46997,0.0136736,0.725532
18,6.02989,0.0127436,0.738275
19,68.9735,0.145768,0.145768
19,48.3839,0.102254,0.248023
19,38.3851,0.0811229,0.329146
19,32.8493,0.0694235,0.398569
19,25.9067,0.0547512,0.45332
19,18.3714,0.038826,0.492146
19,16.3101,0.0344698,0.526616
19,13.7162,0.0289878,0.555604
19,12.9422,0.0273519,0.582956
19,10.425,0.0220322,0.604988
19,10.1398,0.0214294,0.626418
19,9.4428,0.0199564,0.646374
19,8.78415,0.0185644,0.664938
19,8.20572,0.0173419,0.68228
19,7.45581,0.0157571,0.698037
19,6.53969,0.013821,0.711858
19,6.46997,0.0136736,0.725532
